[21/08/2021, 01:08:22] fn#1009 (328249931544395776) | blobfordeath22#0080 (584150201489686529) > 1
[21/08/2021, 01:09:45] fn#1009 (328249931544395776) | blobfordeath22#0080 (584150201489686529) > 1
[21/08/2021, 01:11:07] fn#1009 (328249931544395776) | beepboop#2925 (730582272029229196) > 1
[21/08/2021, 01:13:22] fn#1009 (328249931544395776) | Spicy#8560 (433378984483618836) > 1
[21/08/2021, 01:18:59] fn#1009 (328249931544395776) | Spicy#8560 (433378984483618836) > 1
[22/08/2021, 00:02:43] Oggbot#1237 (780927367626752000) | fn#1009 (328249931544395776) > 2,180
[22/08/2021, 00:02:55] Oggbot#1237 (780927367626752000) | blobfordeath22#0080 (584150201489686529) > 2,182
[22/08/2021, 00:03:34] Oggbot#1237 (780927367626752000) | arie#4639 (490240141181452308) > 848
[22/08/2021, 00:12:51] fn#1009 (328249931544395776) | Oggbot#1237 (780927367626752000) > 1,000
[22/08/2021, 00:13:13] blobfordeath22#0080 (584150201489686529) | Oggbot#1237 (780927367626752000) > 1,000
[22/08/2021, 00:26:13] Oggbot#1237 (780927367626752000) | Lily_067#0435 (792757174555377715) > 1,305
[22/08/2021, 00:26:27] Oggbot#1237 (780927367626752000) | josh.w_47#8361 (462709536076333058) > 1,217
[22/08/2021, 01:13:28] Spicy#8560 (433378984483618836) | Oggbot#1237 (780927367626752000) > 1,000
[22/08/2021, 09:12:58] josh.w_47#8361 (462709536076333058) | Oggbot#1237 (780927367626752000) > 1,000
[22/08/2021, 10:27:24] beepboop#2925 (730582272029229196) | Oggbot#1237 (780927367626752000) > 1,000
[22/08/2021, 15:28:41] bethan bethan bethan bethan#2511 (584101687892115457) | Oggbot#1237 (780927367626752000) > 1,000
[25/08/2021, 08:36:50] Oggbot#1237 (780927367626752000) | skidmarks#8176 (404713115155038220) > 1,129 | daily
[25/08/2021, 22:06:38] Oggbot#1237 (780927367626752000) | arie#4639 (490240141181452308) > 1,004 | daily
[25/08/2021, 23:05:01] Oggbot#1237 (780927367626752000) | beepboop#2925 (730582272029229196) > 1,329 | daily
[26/08/2021, 00:00:28] Oggbot#1237 (780927367626752000) | Spicy#8560 (433378984483618836) > 868 | daily
[26/08/2021, 00:00:31] Oggbot#1237 (780927367626752000) | fn#1009 (328249931544395776) > 1,468 | daily
[26/08/2021, 00:00:39] Oggbot#1237 (780927367626752000) | blobfordeath22#0080 (584150201489686529) > 1,149 | daily
[26/08/2021, 00:02:13] Oggbot#1237 (780927367626752000) | Commander Society#3190 (446027811426271232) > 1,005 | daily
[26/08/2021, 00:35:59] Oggbot#1237 (780927367626752000) | beepboop#2925 (730582272029229196) > 1,319 | daily
[26/08/2021, 00:36:09] Oggbot#1237 (780927367626752000) | arie#4639 (490240141181452308) > 1,032 | daily
[26/08/2021, 07:10:15] jigglyhuff#5788 (500332880048947210) | Oggbot#1237 (780927367626752000) > 1,000 | lottery ticket
[26/08/2021, 08:06:44] Oggbot#1237 (780927367626752000) | skidmarks#8176 (404713115155038220) > 679 | daily
[26/08/2021, 08:57:09] Oggbot#1237 (780927367626752000) | MrMachineGuy#1812 (328247346557222913) > 1,499 | daily
[26/08/2021, 10:06:27] Oggbot#1237 (780927367626752000) | josh.w_47#8361 (462709536076333058) > 1,391 | daily
[26/08/2021, 10:09:49] Oggbot#1237 (780927367626752000) | Lily_067#0435 (792757174555377715) > 2,111 | daily
[26/08/2021, 19:01:53] fn#1009 (328249931544395776) | Oggbot#1237 (780927367626752000) > 1 | pay
[26/08/2021, 21:18:26] Commander Society#3190 (446027811426271232) | Oggbot#1237 (780927367626752000) > 1,000 | lottery ticket
[26/08/2021, 21:49:59] Lily_067#0435 (792757174555377715) | Oggbot#1237 (780927367626752000) > 1,000 | lottery ticket
[27/08/2021, 00:00:06] Oggbot#1237 (780927367626752000) | fn#1009 (328249931544395776) > 1,148 | daily
[27/08/2021, 00:00:41] Oggbot#1237 (780927367626752000) | Spicy#8560 (433378984483618836) > 695 | daily
[27/08/2021, 00:00:49] Oggbot#1237 (780927367626752000) | beepboop#2925 (730582272029229196) > 1,106 | daily
[27/08/2021, 00:01:04] Oggbot#1237 (780927367626752000) | Commander Society#3190 (446027811426271232) > 1,811 | daily
[27/08/2021, 00:01:09] Oggbot#1237 (780927367626752000) | Lily_067#0435 (792757174555377715) > 1,451 | daily
[27/08/2021, 00:15:53] Oggbot#1237 (780927367626752000) | josh.w_47#8361 (462709536076333058) > 1,107 | daily
[27/08/2021, 01:27:41] Oggbot#1237 (780927367626752000) | MrMachineGuy#1812 (328247346557222913) > 1,355 | daily
[27/08/2021, 15:27:07] Oggbot#1237 (780927367626752000) | blobfordeath22#0080 (584150201489686529) > 2,014 | daily
[27/08/2021, 17:29:32] fn#1009 (328249931544395776) | Oggbot#1237 (780927367626752000) > 1,000 | lottery ticket
[27/08/2021, 17:30:34] fn#1009 (328249931544395776) | Oggbot#1237 (780927367626752000) > 1,000 | lottery ticket
[27/08/2021, 17:31:32] fn#1009 (328249931544395776) | Oggbot#1237 (780927367626752000) > 1,000 | lottery ticket
[27/08/2021, 17:43:26] Oggbot#1237 (780927367626752000) | fn#1009 (328249931544395776) > 3,000 | fix
[27/08/2021, 17:44:05] fn#1009 (328249931544395776) | beepboop#2925 (730582272029229196) > 1 | pay
[13/09/2021, 00:24:40] Oggbot#1237 (780927367626752000) | Spicy#8560 (433378984483618836) > 903 | daily
[13/09/2021, 06:59:53] Oggbot#1237 (780927367626752000) | Lily_067#0435 (792757174555377715) > 539 | daily
[13/09/2021, 07:06:12] Oggbot#1237 (780927367626752000) | Commander Society#3190 (446027811426271232) > 597 | daily
[13/09/2021, 07:11:54] Oggbot#1237 (780927367626752000) | fn#1009 (328249931544395776) > 2,113 | daily
[13/09/2021, 07:12:39] Oggbot#1237 (780927367626752000) | josh.w_47#8361 (462709536076333058) > 940 | daily
[13/09/2021, 08:20:26] Oggbot#1237 (780927367626752000) | MrMachineGuy#1812 (328247346557222913) > 2,415 | daily
[13/09/2021, 19:01:56] MrMachineGuy#1812 (328247346557222913) | Oggbot#1237 (780927367626752000) > 1,000 | lottery ticket
[13/09/2021, 21:27:32] Oggbot#1237 (780927367626752000) | blobfordeath22#0080 (584150201489686529) > 980 | daily
[14/09/2021, 00:10:03] Oggbot#1237 (780927367626752000) | Spicy#8560 (433378984483618836) > 1,656 | daily
[14/09/2021, 00:10:34] Oggbot#1237 (780927367626752000) | Commander Society#3190 (446027811426271232) > 1,330 | daily
[14/09/2021, 06:24:10] Oggbot#1237 (780927367626752000) | Lily_067#0435 (792757174555377715) > 1,389 | daily
[14/09/2021, 22:49:47] Oggbot#1237 (780927367626752000) | fn#1009 (328249931544395776) > 1,437 | daily
[15/09/2021, 00:00:22] Oggbot#1237 (780927367626752000) | Commander Society#3190 (446027811426271232) > 805 | daily
[15/09/2021, 00:00:38] Oggbot#1237 (780927367626752000) | Spicy#8560 (433378984483618836) > 712 | daily
[15/09/2021, 00:10:16] Oggbot#1237 (780927367626752000) | josh.w_47#8361 (462709536076333058) > 930 | daily
[15/09/2021, 07:02:17] Oggbot#1237 (780927367626752000) | Lily_067#0435 (792757174555377715) > 1,499 | daily
[15/09/2021, 16:38:32] Oggbot#1237 (780927367626752000) | jigglyhuff#5788 (500332880048947210) > 1,017 | daily
[15/09/2021, 16:39:07] Oggbot#1237 (780927367626752000) | bethan#2511 (584101687892115457) > 1,032 | daily
[15/09/2021, 17:03:57] Oggbot#1237 (780927367626752000) | fn#1009 (328249931544395776) > 1,105 | daily
[15/09/2021, 17:43:28] Oggbot#1237 (780927367626752000) | blobfordeath22#0080 (584150201489686529) > 524 | daily
[15/09/2021, 17:51:39] Oggbot#1237 (780927367626752000) | beepboop#2925 (730582272029229196) > 730 | daily
[15/09/2021, 18:07:30] Oggbot#1237 (780927367626752000) | MrMachineGuy#1812 (328247346557222913) > 1,159 | daily
[16/09/2021, 00:01:10] Oggbot#1237 (780927367626752000) | Commander Society#3190 (446027811426271232) > 1,200 | daily
[16/09/2021, 06:22:17] Oggbot#1237 (780927367626752000) | Lily_067#0435 (792757174555377715) > 2,425 | daily
[16/09/2021, 08:31:45] Oggbot#1237 (780927367626752000) | MrMachineGuy#1812 (328247346557222913) > 1,347 | daily
[16/09/2021, 08:32:05] Oggbot#1237 (780927367626752000) | fn#1009 (328249931544395776) > 958 | daily
[16/09/2021, 14:06:27] Oggbot#1237 (780927367626752000) | blobfordeath22#0080 (584150201489686529) > 931 | daily
[16/09/2021, 18:17:48] Oggbot#1237 (780927367626752000) | skidmarks#8176 (404713115155038220) > 660 | daily
[16/09/2021, 18:25:01] Oggbot#1237 (780927367626752000) | Spicy#8560 (433378984483618836) > 641 | daily
[16/09/2021, 18:26:57] Oggbot#1237 (780927367626752000) | jigglyhuff#5788 (500332880048947210) > 2,436 | daily
[16/09/2021, 19:40:15] Oggbot#1237 (780927367626752000) | josh.w_47#8361 (462709536076333058) > 1,317 | daily
[17/09/2021, 00:00:02] Oggbot#1237 (780927367626752000) | Commander Society#3190 (446027811426271232) > 2,393 | daily
[17/09/2021, 00:00:36] Oggbot#1237 (780927367626752000) | fn#1009 (328249931544395776) > 1,439 | daily
[17/09/2021, 00:05:22] Oggbot#1237 (780927367626752000) | Spicy#8560 (433378984483618836) > 918 | daily
[17/09/2021, 06:29:07] Oggbot#1237 (780927367626752000) | Lily_067#0435 (792757174555377715) > 1,033 | daily
[17/09/2021, 14:59:02] Oggbot#1237 (780927367626752000) | jigglyhuff#5788 (500332880048947210) > 1,243 | daily
[17/09/2021, 15:37:06] Oggbot#1237 (780927367626752000) | MrMachineGuy#1812 (328247346557222913) > 1,125 | daily
[18/09/2021, 00:00:42] Oggbot#1237 (780927367626752000) | Commander Society#3190 (446027811426271232) > 1,258 | daily
[18/09/2021, 00:01:39] Oggbot#1237 (780927367626752000) | Spicy#8560 (433378984483618836) > 939 | daily
[18/09/2021, 00:14:57] Oggbot#1237 (780927367626752000) | fn#1009 (328249931544395776) > 1,695 | daily
[18/09/2021, 00:15:05] Oggbot#1237 (780927367626752000) | beepboop#2925 (730582272029229196) > 1,458 | daily
[18/09/2021, 09:00:20] Oggbot#1237 (780927367626752000) | Lily_067#0435 (792757174555377715) > 1,401 | daily
[18/09/2021, 09:47:38] Oggbot#1237 (780927367626752000) | jigglyhuff#5788 (500332880048947210) > 815 | daily
[18/09/2021, 10:18:19] Oggbot#1237 (780927367626752000) | MrMachineGuy#1812 (328247346557222913) > 500 | daily
[18/09/2021, 12:15:03] Oggbot#1237 (780927367626752000) | josh.w_47#8361 (462709536076333058) > 786 | daily
[19/09/2021, 00:06:19] Oggbot#1237 (780927367626752000) | blobfordeath22#0080 (584150201489686529) > 1,248 | daily
[19/09/2021, 00:52:16] Oggbot#1237 (780927367626752000) | fn#1009 (328249931544395776) > 1,367 | daily
[19/09/2021, 08:42:44] Oggbot#1237 (780927367626752000) | josh.w_47#8361 (462709536076333058) > 1,066 | daily
[19/09/2021, 11:52:22] Oggbot#1237 (780927367626752000) | skidmarks#8176 (404713115155038220) > 939 | daily
[19/09/2021, 12:11:23] Oggbot#1237 (780927367626752000) | Spicy#8560 (433378984483618836) > 1,700 | daily
[19/09/2021, 15:37:46] Oggbot#1237 (780927367626752000) | beepboop#2925 (730582272029229196) > 1,065 | daily
[19/09/2021, 16:53:10] Oggbot#1237 (780927367626752000) | blobfordeath22#0080 (584150201489686529) > 671 | daily
